experiment_name,k,steps,samples,alpha,g_obj,fw_obj,g_time,fw_time,dataset_name,p,ratio,speedupx
sniper_k71_a0.2_m50,71,1420,50,0.2,328.611136393355,322.417500331427,3.3512277603149414,12.044222593307495,secom,478,0.9811520810587682,0.2782435922578422
sniper_k76_a0.2_m50,76,1520,50,0.2,339.83749076372106,331.86090187488537,3.9305031299591064,12.884406328201294,secom,478,0.9765282256795452,0.30505892393008827
sniper_k81_a0.2_m50,81,1620,50,0.2,350.12683448648005,345.8330587153858,4.573281288146973,13.644994735717773,secom,478,0.9877365133198323,0.33516182136558387
sniper_k86_a0.2_m50,86,1720,50,0.2,359.83978650934836,354.845452469345,5.286421775817871,14.528489589691162,secom,478,0.9861206730682806,0.36386588868597225
sniper_k90_a0.2_m50,90,1800,50,0.2,367.20551637124237,359.8482045035492,5.918782949447632,15.332110166549683,secom,478,0.9799640486330413,0.38603837861540663
sniper_k95_a0.2_m50,95,1900,50,0.2,375.7530000371565,368.2402890549223,6.799487590789795,16.329572677612305,secom,478,0.9800062514963519,0.41639103025101387
sniper_k100_a0.2_m50,100,2000,50,0.2,383.65390760875545,377.67139585081696,7.789055347442627,17.097718477249146,secom,478,0.9844064881412876,0.45556109476284984
sniper_k105_a0.2_m50,105,2100,50,0.2,390.8628278410116,385.8512931298685,8.943286895751953,17.929030895233154,secom,478,0.9871782775076744,0.4988159676901294
sniper_k109_a0.2_m50,109,2180,50,0.2,396.01325772956926,391.93205878593136,9.94489073753357,18.473875284194946,secom,478,0.9896942870876689,0.5383218509676622
sniper_k114_a0.2_m50,114,2280,50,0.2,401.82740439718435,397.5149777565685,11.284427881240845,19.31063175201416,secom,478,0.9892679628282564,0.5843634753204717
sniper_k119_a0.2_m50,119,2380,50,0.2,407.00597374309945,403.80546072880566,12.784618377685547,20.100877285003662,secom,478,0.9921364470775215,0.6360229056879801
sniper_k5_a0.2_m50,5,1000,50,0.2,123.60932492158099,123.2134429048939,0.08468008041381836,9.010282278060913,synthetic_high_corr,500,0.9967973126870626,0.009398160656964702
sniper_k10_a0.2_m50,10,1000,50,0.2,246.12028838385604,245.63980471979067,0.1830580234527588,9.051167488098145,synthetic_high_corr,500,0.9980477689701225,0.02022479682245096
sniper_k15_a0.2_m50,15,1000,50,0.2,367.87922389154534,367.31359734278163,0.29817986488342285,9.063708066940308,synthetic_high_corr,500,0.9984624667226915,0.03289822031791027
sniper_k20_a0.2_m50,20,1000,50,0.2,488.85228929764634,488.6246431738541,0.42687034606933594,9.02502155303955,synthetic_high_corr,500,0.9995343253396249,0.04729854034814683
sniper_k25_a0.2_m50,25,1000,50,0.2,489.6940104657867,489.39993205973025,0.5763452053070068,8.942823886871338,synthetic_high_corr,500,0.9993994649724698,0.06444778658261627
sniper_k30_a0.2_m50,30,1000,50,0.2,490.5066633907158,489.9913904198299,0.7497491836547852,8.731732606887817,synthetic_high_corr,500,0.9989495087236451,0.08586488127950272
sniper_k34_a0.2_m50,34,1000,50,0.2,491.13965278228073,490.2807904592018,0.8908255100250244,8.758745908737183,synthetic_high_corr,500,0.9982512869441237,0.10170697030226576
sniper_k40_a0.2_m50,40,1000,50,0.2,492.04965412643696,490.7901171741447,1.1580662727355957,8.751315832138062,synthetic_high_corr,500,0.9974402238844606,0.13233053119654864
sniper_k45_a0.2_m50,45,1000,50,0.2,492.3728962001253,490.9911655792201,1.4432833194732666,8.952593564987183,synthetic_high_corr,500,0.997193731353678,0.1612139888844974
sniper_k49_a0.2_m50,49,1000,50,0.2,492.6259275489381,490.98578475601437,1.6799814701080322,8.972040176391602,synthetic_high_corr,500,0.9966706121192519,0.1872463160083275
sniper_k55_a0.2_m50,55,1100,50,0.2,492.99796673263836,492.12796900106656,2.0998029708862305,9.902695178985596,synthetic_high_corr,500,0.9982352914407787,0.21204358338144144
sniper_k60_a0.2_m50,60,1200,50,0.2,493.290550391191,492.26593681999935,2.5093791484832764,10.579899311065674,synthetic_high_corr,500,0.9979229004683363,0.23718365125258606
sniper_k65_a0.2_m50,65,1300,50,0.2,493.48751049701934,492.2155108745526,2.942591905593872,11.37903118133545,synthetic_high_corr,500,0.9974224279330076,0.25859775394767204
